Silicon Storage Technology,sst.com/
Dolby Laboratories Licensing Corporation,dolby.com/us/en/professional/licensing.html
Fujitsu Limited,fujitsu.com/global/
Innolux Corporation,innolux.com/Pages/EN/Index_EN.html
Omron Corporation,omron.com/
Cyberonics,livanova.cyberonics.com/
Nordson Corporation,nordson.com/
Southwest Research Institute,swri.org/
Pixar,pixar.com/
Biosense Webster (Israel) Ltd.,biosensewebster.com/
UTC FIRE & SECURITY CORPORATION,ccs.utc.com/ccs/en/worldwide/
FEI Company,fei.com/careers/
Markel Corporation,markelcorp.com/
Tokyo Electron Limited,tel.com/
Carl Zeiss Meditec AG,zeiss.com/meditec-ag/home.html
Finisar Corporation,finisar.com/
MERCK SHARP & DOHME CORP.,merck.com/index.html
NOVA Chemicals (International) S.A.,novachem.com/pages/home.aspx
Bostik,bostik.com/us/
Fuji Xerox Co.,fujixerox.com/eng
Hamilton Sundstrand Corporation,utcaerospacesystems.com/
O.B.I. Inc.,obi.org/
Delphi Technologies,delphi.com/new-delphi-technologies
Johns Manville,jm.com/
GENCO SCIENCES LLC,gpen.com/
IMEC,imec.org/
Certain-teed Corporation,certainteed.com/
OTSUKA PHARMACEUTICAL CO.,otsuka.co.jp/en/
Entegris,entegris.com/
Infinera Corporation,infinera.com/
Eisai Co.,eisai.com/index.html
SunRun,sunrun.com/
Sunrun South LLC,sunrun.com/
Evoqua Water Technologies LLC,evoqua.com/
Kia Motors Corporation ,kia.com/us/en/home
Kemira OY,kemira.com/
The Boeing Company,boeing.com/
Heidelberger Druckmaschinen AG,heidelberg.com/
Alexion Pharmaceuticals,alexion.com/
FLIR Systems,flir.com/
Riverbed Technology,riverbed.com/
R.J. Reynolds Tobacco Company,rjrt.com/
Murata Manufacturing Co.,murata.com/
Heraeus Precious Metals North America Conshohocken LLC,heraeus.com/us/group/home/home.aspx
Cree,cree.com/
Renesas Electronics Corporation,renesas.com/en-us/
Cabot Corporation,cabotcorp.com/
Danisco US Inc.,danisco.com/food-beverages/
Guardian Industries,guardian.com/en/index.html
Milliken & Company,milliken.com/
Atrium Medical Corporation,atriummed.com/
Momentive Performance Materials GmbH,momentive.com/en-US/
Momentive Performance Materials Inc.,momentive.com/en-US/
First Solar,firstsolar.com/
Fairchild Semiconductor Corporation,onsemi.com/
Microsemi SoC Corporation,microsemi.com/
DRS Network & Imaging Systems,leonardodrs.com/
Sick AG,sick.com/de/en/
TMC Corporation,tcm.com/
Dell Software Inc.,quest.com
Johnson & Johnson Vision Care,jjvision.com/
Qiagen GmbH,qiagen.com/us/
UChicago Argonne,uchicagoargonnellc.org/
Nederlandse Organisatie voor toegepast-natuurwetenschappelijk onderzoek TNO,tno.nl/en/
Chevron Phillips Chemical Company LP,cpchem.com/
BlackBerry Limited,blackberry.com/
Domtar Paper Company,domtar.com/en
Bemis Company,bemis.com/
Ortho-Clinical Diagnostics,orthoclinicaldiagnostics.com/
PACCAR Inc,paccar.com/
SAINT-GOBAIN ABRASIFS,saint-gobain-abrasives.com/en-us
Cypress Semiconductor Corp.,cypress.com/
Sun Chemical Corporation,sunchemical.com/
Star Technology and Research,star-tech-inc.com/
Battelle Memorial Institute,battelle.org/
Nalco Company,ecolab.com/nalco-water
Dow Technology Investments LLC,dow.com/en-us
LG Display Co.,lgdisplay.com/eng/main
Sigma-Aldrich Co. LLC,sigmaaldrich.com/
PolyOne Corporation,polyone.com/
Dresser-Rand Company,dresser-rand.com/
Intuitive Surgical Operations,intuitive.com/
INVISTA North America S.a.r.l.,invista.com/
VIASAT INC.,viasat.com/
Carestream Health,carestream.com/en/us
Hitachi,hitachi.com/
Pegatron Corporation,pegatroncorp.com/
HGST NETHERLANDS B.V.,hgst.com/
Novozymes A/S,novozymes.com/
Novozymes Inc.,novozymes.com/
Novozymes North America,novozymes.com/en/north-america
Celanese Corporation,celanese.com/
Celanese International Corporation,celanese.com/
Dana-Farber Cancer Institute,dana-farber.org/
Amkor Technology,amkor.com/
Commonwealth Scientific & Industrial Research Organization,csiro.au/
Illinois Tool Works,itw.com/
Abengoa Bioenergy New Technologies,abengoa.com/
SanDisk Technologies LLC,sandisk.com/
SanDisk 3D LLC,sandisk.com/home/ssd/ultra-3d-ssd
KT Corporation,corp.kt.com/eng/
Lawrence Livermore National Security,llnsllc.com/
Dentsply International,corporate.dentsplysirona.com/en.html
Arkema Inc.,arkema.com/en/
Microchip Technology Incorporated,microchip.com/
Stora Enso Oyj,storaenso.com/
Cadence Design Systems,cadence.com/
Cornell Research Foundation,cornell.edu/research/
Bausch & Lomb Incorporated,bausch.com/
KLA-Tencor Corporation,kla-tencor.com/
Johnson Matthey PLC,matthey.com/
Maxim Integrated Products,maximintegrated.com/en.html
Sony Interactive Entertainment America LLC,sie.com/en/index.html
Bio-Rad Laboratories,bio-rad.com/
Zoetis Services LLC,zoetis.com/products-services/
Agilent Technologies,agilent.com/
Janssen Biotech,janssen.com/
Mediatek Inc.,mediatek.com/
Nationwide Children's Hospital,nationwidechildrens.org/
Biocon Limited,biocon.com/
Regeneron Pharmaceuticals,regeneron.com/
Dow Corning Corporation,dow.com/en-us/dow-corning-integration
SK Telecom Co.,sktelecom.com/index.html
Sandia Corporation,sandia.gov
Los Alamos National Security,lansllc.com/
Honda Motor Co.,honda.com/
Lam Research Corporation,lamresearch.com/
Andritz Inc.,andritz.com/group-en
United Technologies Corporation,utc.com/
ServiceNow,servicenow.com/
Freescale Semiconductor,nxp.com/
NEC Corporation,nec.com/
Osram Sylvania Inc.,sylvania.com/
Eastman Kodak Company,kodak.com/us/en/corp/default.htm
Eastman Chemical Company,eastman.com/Pages/Home.aspx
Dana Corporation,dana.com/
Bayer Materialscience LLC,bayer.com/
DePuy Synthes Products,depuysynthes.com/
UOP LLC,phoenix.edu/
S. C. Johnson & Son,scjohnson.com/
S.C. Johnson & Son,scjohnson.com/
Smith & Nephew,smith-nephew.com/
Siemens Corporation,siemens.com/global/en/home.html
Analog Devices,analog.com/en/index.html
UCB Pharma S.A.,ucb.com/
Denso Corporation,denso.com/global/en/
Sanofi,sanofi.com/en/
Genzyme Corporation,sanofigenzyme.com/
Alencon Acquisition Co.,alenconsystems.com/
Gilead Sciences,gilead.com/
AIR PRODUCTS AND CHEMICALS,airproducts.com/
Red Hat,redhat.com/en
St. Jude Medical,sjm.com/
NCC Nano,novacentrix.com/
Siemens Energy,siemens.com/global/en/home/products/energy.html
NetApp,netapp.com/us/index.aspx
Toyota Motor Engineering & Manufacturing North America,toyota.com/usa/careers/index.html
HARMAN INTERNATIONAL INDUSTRIES,harman.com/
GLOBALFOUNDRIES Inc.,globalfoundries.com/
Archer Daniels Midland Company,adm.com/
Pansonic Corporation,shop.panasonic.com/
MAHLE International GmbH,mahle.com/
Avery Dennison Corporation,averydennison.com/
Teradata US,teradata.com/About-Us
Dr. Reddy's Laboratories Ltd.,drreddys.com/
Nvidia Corporation,nvidia.com/page/home.html
Georgia-Pacific Gypsum LLC,buildgp.com/georgia-pacific-gypsum
Seagate Technology LLC,seagate.com/
Micron Technology,micron.com/
Infineon Technologies Americas Corp.,infineon.com/
Infineon Technologies AG,infineon.com/
NXP USA,nxp.com/
CNH Industrial America LLC,cnhindustrial.com/en-us/Pages/Homepage.aspx
Applied Materials,appliedmaterials.com/
APPLIED MATERIALS ISRAEL LTD.,appliedmaterials.com/
THYSSENKRUPP INDUSTRIAL SOLUTIONS GMBH,thyssenkrupp.com/en/
Solvay Specialty Polymers USA,solvay.com/en
The Goodyear Tire & Rubber Company,goodyear.com/
Parker-Hannifin Corporation,parker.com/
Quest Diagnostics Investments Incorporated,ir.questdiagnostics.com/
Rockwell Collins,rockwellcollins.com/
STMicroelectronics Limited,st.com/content/st_com/en.html
STMicroelectronics S.A.,st.com/content/st_com/en.html
St. Microelectronics Inc.,st.com/content/st_com/en.html
Adobe Systems Incorporated,adobe.com/
Conoco Inc.,conoco.com/
PPG Industries Ohio,corporate.ppg.com/Home.aspx
Alcon Research,alcon.com/
Genentech,gene.com/
Monsanto Technology LLC,monsanto.com/products/product-stewardship/technology-use-guides/
Saint-Gobain Ceramics & Plastics,ceramicmaterials.saint-gobain.com/
Ecolab Inc.,ecolab.com/
Becton,bd.com/
Colgate-Palmolive Company,colgatepalmolive.com/en-us
Syngenta Participations AG,syngenta.com/
Symantec Corporation,symantec.com/
Tyco Electronics Corporation,te.com/usa-en/home.html
Tyco Electronics U.K. LTD,te.com/usa-en/home.html
Baxter Healthcare SA,baxter.com/
Baxter International Inc.,baxter.com/
Texas Instruments Incorporated,ti.com/
Texas Instruments Deutschland GmbH,http://www.ti.com/
Magna International Inc.,magna.com/
AbbVie Inc.,abbvie.com/
SABIC GLOBAL TECHNOLOGIES B.V.,sabic.com/en
GE-Hitachi Nuclear Energy Americas LLC,nuclear.gepower.com/
Amgen Fremont Inc.,amgen.com/
Amgen Inc.,amgen.com/
Rolls-Royce PLC,rolls-royce.com/
Rolls-Royce North American Technologies,rolls-royce.com/country-sites/northamerica.aspx
American Air Liquide,industry.airliquide.us/
Boston Scientific Scimed,bostonscientific.com/en-US/Home.html
Bristol-Myers Squibb Company,bms.com/
ALSTOM Technology Ltd,alstom.com/
QUALCOMM Incorporated,qualcomm.com/
E. I. du Pont de Nemours and Company duPont Displays Inc,dupont.com/
Boehringer Ingelheim Vetmedica GmbH,bi-vetmedica.com/
Boehringer Ingelheim International GmbH,boehringer-ingelheim.com/
Sony Corporation,sony.com/
Nissan Motor Co.,nissan-global.com/EN/
Nissan North America,nissanusa.com/about/corporate-information.html
Dow Global Technologies Inc.,dow.com/en-us
adidas AG,adidas.com/us/
Thermo Finnigan,thermofisher.com/us/en/home.html
Thermo Fisher Scientific Inc.,thermofisher.com/us/en/home.html
LG Electronics Inc.,lg.com/us
Eaton Corporation,eaton.com/us/en-us.html
BAE Systems Information and Electronic Systems Integration Inc.,baesystems.com/en-us/our-company/inc-businesses/electronic-systems
Raytheon Company,raytheon.com/
Raytheon BBN Technologies Corp.,raytheon.com/ourcompany/bbn
Baker Hughes Incorporated,bhge.com/
GE Healthcare Limited,gehealthcare.com/
Kao Corporation,us.army.mil/
Johnson Controls Technology Company,johnsoncontrols.com/about-us/our-company
3M Innovative Properties Company,3m.com/
BASF SE,basf.com/
BASF,basf.com/
BASF Corporation ,basf.com/
ExxonMobil Upstream Research Company,corporate.exxonmobil.com/
Roche Molecular Systems,roche.com/
Northrop Grumman Systems Corporation,northropgrumman.com/
Avon Products,avon.com/
Chevron U.S.A. Inc.,chevron.com/
Hewlett-Packard Development Company,www8.hp.com/us/en/home.html
Samsung Electronics,samsung.com/us/
Novartis AG,novartis.com/
Johnson & Johnson Consumer Companies,jnj.com/healthcare-products/consumer
Cisco Technology,cisco.com/
Lockheed Martin Corporation,lockheedmartin.com/en-us/index.html
The Procter & Gamble Company,pg.com/
GENERAL ELECTRIC COMPANY,ge.com/
ABB AB,abb.com/
ABB Technology Ltd.,new.abb.com/about/technology
Honeywell International Inc.,honeywell.com/
GENERAL MOTORS LLC,gm.com/
Pfizer Inc.,pfizer.com/
Shell Oil Company,shell.us/
Apple Inc.,apple.com/
Hewlett Packard Enterprise Development LP,hpe.com/us/en/home.html
Siemens Aktiengesellschaft ,siemens.com/global/en/home.html
Siemens Medical Solutions USA,usa.healthcare.siemens.com/
AT&T Corporation,att.com/
Tata Consultancy Services Limited,tcs.com/
International Business Machines Corporation,ibm.com/us-en/
Advanced Aqua Group,aadvancedaqua.com/
Google Inc.,abc.xyz/
Acer Incorporated,acer.com/ac/en/US/content/home
Achushnet Company,acushnetgolf.com/
Adlens Beacon,adlens.com/
AFMODEL,afmodels.com/
Agienic,agienic.com/
Allertein Therapeutics,allergytherapeutics.com/
Areesys Technologies,areesys.com/
Avantor Performance Materials,avantorinc.com/
Avtaec Limited,avtec.in/
Bestway,bestwaycorp.us/
Biogenic Reagents Ventures,biogenicreagents.com/
Cleanvantage LLC,biovantage.dk/
BROADCOM CORPORATION,broadcom.com/
Biotechnology Foundation,cabiotech.org/
CellPrint IP Holding,cellprintbiotechnology.com/
Clean Energy Labs,cleanenergylabs.com/
ConocoPhillips Company,conocophillips.com/
Crestovo LLC,crestovo.com/
Bayer Cropscience AG,cropscience.bayer.com/
Da Yu Enterprises,dayuenterprises.com/
The Charles Stark Draper Laboratory,draper.com/
Dymax Corporation,dymax.com/
SolarLego Inc.,education.lego.com/en-us/products/lego-solar-panel/9667
EPCOS AG,en.tdk-electronics.tdk.com/
BASF Enzymes LLC,enzymes.basf.com/
Flextronics AP,flex.com/
TDK Corporation,global.tdk.com/corp/en/index.htm
GOSOLARLIFE,gosolarlife.com/
HTC Corporation,htc.com/us/
IDEA TREE,ideatreepromos.com/
Interez,interez.sk/
IntriEnergy Inc.,intrienergy.com/#!
Industrial Science & Technology Network,istninc.com/home.htm
The Jackson Laboratory,jax.org/
JNC Corporation,jncwheels.com/
JSR Corporation,jsr.vccs.edu/
Kiverdi,kiverdi.com/
KJ BIOSCIENCES LLC,kjbiosciences.com/
Kraton Polymers U.S. LLC,kraton.com/
MCI,mci.com/mcihome.jsp
Merck Patent GmbH,merck.com/product/patent/home.html
MIETAMARK GENETICS,metamarkgenetics.com/
U S MICROPOWER INC,micropower-group.com/
Monolithe Semiconductor Inc.,monolithsemi.com/
Warsaw Orthopedic,mywarsaw.net/
NANO CELL SYSTEMS,nanocellsystems.com
nanoComposix,nanocomposix.com/
Nanocopocia,nanocopoeia.com/
NANOPHTHALMICS,nanophthalmics.com/
Nokia Technologies Oy,nokia.com/
NovaSolix,novasolix.com/
Novus Technology,novustek.net/
Optodot Corporation,optodot.com/
Chevron Oronitz Company LLC,oronite.com/
Professional Compounding Centers of America,pccarx.com/
PeterBrod Corp.,petroblend.com/
Peytant Solutions,peytant.com/
Polaris Products LLC,polaris.com/en-us
POSiFA MICROSYSTEMS,posifamicrosystems.com/
QUALCOMM MEMS Technologies,qualcomm.com/
Qualsig Inc.,qualsig.com/
Rio Grande Valley Sugar Growers,rgvsugar.com/
Schneider Electric USA,schneider-electric.us/en/
Seetron Inc.,seetron.com/index.html
Selkermetrics,selkermetrics.com/
Siemens Industry,siemens.com/us/en/home/products/automation.html
Sinewatts,sinewatts.com/
Schneider Electric Solar Inverters USA,solar.schneider-electric.com/
Solar-Tectic LLC,solartecticllc.com/
SolarWorld Americas Inc.,solarworld-usa.com/
E. Tech Incorporation,terratechcorp.com/
Toshiba America Electronic Components,toshiba.semicon-storage.com/us/top.html
Tosoh Corporation,tosoh.com/
Toyota Jidosha Kabushiki Kaisha,toyota-global.com/
TRANE INTERNATIONAL INC.,trane.com/index.aspx
UNISANTIS ELECTRONICS SINGAPORE PTE. LTD.,unisantis.com/
VMware,vmware.com/
ZIH Corp.,zebra.com/us/en.html/
CAPAT,
Aseptia,
BOE Technology Group Co.,
Crepaco,
Abraxis Bioscience,
Agrigenetics,
Arch Biosurgery,
Arisaph Pharmaceuticals,
Fezza Family Properties,
GR Intellectual Reserve,
Intrexon CEU,
Lyotropic Therapeutics,
Molecular Imprints,
Ojai Retinal Technology,
QD Vision,
R.P. Scherer Technologies,
SCHOTTKY LSI,
Semiconductor Components Industries,
Solexa,
BROOKLYN QUANTUM WORKS,
Cetus Corporation,
GREENFIELD MASTER IPCO LIMITED,
GREENHILL ANTIBALLISTICS CORPORATION,
Garrity Power Services LLC,
INTEL IP CORPORATION,
JSI Equipment Solutions LLC,
Triune IP LLC,
WELL Shield LLC,
API Intellectual Property Holdings,
APPLIED SUNSHINE,
Advanced Fusion Technologies,
CYKL Technology,
Diamicron,
Digital Wind Systems,
FHT,
III HOLDINGS 1,
Industrial Origami,
LG Bionano,
Ormet Circuits,
Panasonic Intellectual Property Management Co.,
Plasma Tech Holdings,
Precision Custom Coatings,
Rillito Rive Solar,
Ruse Technologies,
SDCmaterials,
SeQual Technologies,
Truckee Applied Genomics,
V35A Enterprises,
Vindico NanoBioTechnology,
Western Digital (Fremont),
Western Digital Technologies,
Atomic Energy Council-Institute of Nuclear Energy Research,
BLANC VINEYARDS L.L.C.,
BOLTIER R&D,
Cadtrak Corporation,
Callahan Cellular L.L.C.,
Hewlett-Packard Indigo B.V.,
LORDO AMERICA,
Nano Technics Company Ltd,
VivaLnk Limited (Cayman Islands),
WADHAM ENERGY LP,
Xenogenic Development Limited Liability Company,
eSionic Corp.,
540 Grid Solutions,
ALF OPERATING PARTNERS,
AMO Wavefront Sciences,
Aadigen,
Advanced Cardiovascular Systems,
Advanced Technology Materials,
Amazon Technologies,
Anterios,
Applied NanoStructured Solutions,
Avello Bioenery,
AxioMx,
BHA Technologies,
BIND Therapeutics,
Bechtel Hydrocarbon Technology Solutions,
Beijing BOE Display Technology Co.,
Biozoom Technologies,
CA,
CPT IP Holdings,
California Industrial Facilities Resources,
Cardiac Pacemakers,
Cheil Industries,
Component Re-Engineering Company,
DCG SYSTEMS,
DPD,
Deep Well Power,
Dogwood Pharmaceuticals,
Dongbu Hitek Co.,
ENERGY ENGINEERING SYSTEMS,
Elcriton,
Facebook,
GEOTHERMAL ENERGY PROJECT,
GM Global Technology Operations,
Genia Technologies,
GeoSynFuels,
Gilead Biologics,
Haier US Appliance Solutions,
Handylab,
IBC Pharmaceuticals,
Immunopath Profile,
Industrial Solar Heating Systems,
Innovalight,
Joule Unlimited Technologies,
KAI Pharmaceuticals,
LAVA ENERGY SYSTEMS,
Ma-West,
Mallinckrodt,
Matrix Odyssey,
Medtronic Vascular,
Nant Holdings IP,
Ovonic Battery Company,
Planet ATE,
QUSWAMI,
Roho,
Samsung Corning Precision Materials Co.,
Samsung Electro-Mechanics Co.,
Shenzhen China Star Optoelectronics Technology Co.,
Shubin,
Sigmatel,
Simple Approach Systems,
SonoGene,
Sophoro Biotechnologies,
Synthezyme,
THE SWEET LIVING GROUP,
Taxon Biosciences,
Tekkware,
Tensor,
TetraSun,
Therapeutic Proteins International,
Twitter,
VALTED,
Varian Semiconductor Equipment Associates,
Ventana Medical Systems,
adaptiveARC,
kSep Systems,
646840 Alberta Ltd.,
AAC Technologies Pte. Ltd.,
ABL IP Holding LLC,
AMERICAN BIO ENERGY CONVERTING CORP.,
ATI Technologies ULC,
AZ Electronic Materials (Luxembourg) S.A.R.L.,
Aerosol Dynamics Inc.,
Aneeve LLC,
Anlinx,
Asahi Kasei Kabushiki Kaisha,
Avago Technologies General IP (Singapore) Pte. Ltd.,
Avant Garde Therapeutics & Technologies LLC,
BCE Inc.,
BTPATENT LLC,
Bakersun,
Bosch Energy Storage Solutions LLC,
Boston Scientific Neuromodulation Corporation,
Brother Kogyo Kabushiki Kaisha,
CPC International Inc.,
Chiron Corporation,
Covidien LP,
Cymatics Laboratories Corp.,
DPx Holdings B.V.,
ELC Management LLC,
ENERGY INDEPENDENCE OF AMERICA CORP.,
Embro Corporation,
Exatec LLC,
Excelsior Nanotech Corporation,
Ferric Inc.,
GOOGLE TECHNOLOGY HOLDINGS LLC,
Gula Consulting Limited Liability Company,
Intercontinental Great Brands LLC,
Kabushiki Kaisha Eighting,
Kansei Corporation ,
Kawasaki Jukogyo Kabushiki Kaisha,
Mintera Corporation,
Monarch Power Corp,
NANOPHARMACEUTICALS LLC,
Nanao Corporation,
Nanostatics Corporation,
Panasonic Intellectual Property Corporation of America,
Pelican Imaging Corporation,
Philip Morris USA Inc.,
RINAT NEUROSCIENCE CORP.,
ROM Corporation,
Renewable Opportunities Inc.,
Rosemount Aerospace Inc. ,
SHOW ME ENERGY,
Santoku Corporation,
Semiconductor Manufacturing International (Shanghai) Corporation,
Semileds Optoelectronics Co.,
Sharp Kabushiki Kaisha,
Solaris Holdings Limited,
TIME WARNER CABLE ENTERPRISES LLC,
TRITON MICROTECHNOLOGIES,
The Gates Corporation,
Thermorefinery Technologies Inc.,
Thermoretinary Technologies Inc.,
Toshiba Tec Kabushiki Kaisha,
U.S. Smokeless Tobacco Company LLC,
Volterra Semiconductor LLC,
