,firm,firm_length,url,name_clnd,name_length,hit_url,hit_url_length,rank,matches,public,acquired_merged,outcome,Votes
0,honeywell international inc.,9,https://www.honeywell.com/,Honeywell - Official Site,25,https://www.honeywell.com/,26,1,1,0,0,1,10
6,imds corporation,4,http://www.imds-ohio.com/,IMDS Corporation,16,http://www.imds-ohio.com/,25,1,1,0,0,1,9
12,honeywell international inc.,9,https://www.honeywell.com/,Honeywell - Official Site,25,https://www.honeywell.com/,26,1,1,0,0,1,10
19,"ziptronix, inc.",9,https://www.xperi.com/,Invensas,8,https://www.invensas.com/,25,2,0,0,1,0,3
47,sensor-kinesis corporation,14,http://sensor-kinesis.com/,Sensor-Kinesis Corp. | The Leader in Advanced Biosensor ...,59,http://sensor-kinesis.com/,26,1,2,0,0,1,9
54,gen-probe incorporated,9,https://www.hologic.com/,Hologic - Official Site,23,https://www.hologic.com/,24,1,0,0,0,1,10
62,"asm america, inc.",11,http://www.asm.com/,ASM International - Official Site,33,http://www.asm.com/,19,1,1,0,0,1,9
69,"fenwal, inc.",6,https://www.fresenius-kabi.com/us/,Kidde Fenwal,12,https://kidde-fenwal.com/,25,2,1,0,0,0,3
74,"nantero, inc.",7,http://nantero.com/,Nantero NRAM - Memory technology that is incredibly fast!,57,http://nantero.com/,19,1,1,0,0,1,10
81,"princeton optronics, inc.",19,http://www.princetonoptronics.com/,Applications - ams,18,https://ams.com/applications,28,1,0,0,0,0,10
87,"siemens energy, inc.",14,https://www.siemens.com/global/en/home/products/energy.html,Energy Products & Services - Siemens Global Website,51,https://www.siemens.com/global/en/home/products/energy.html,59,1,2,0,0,1,1
90,"ade, inc.",3,http://www.ade-usa.com/,ADEKA,5,https://www.adeka.co.jp/en/,27,1,1,0,0,0,6
91,"ade, inc.",3,http://www.ade-usa.com/,ADEKA USA - Official Site,25,http://www.adekausa.com/,24,2,1,0,0,0,6
99,avery dennison corporation,14,http://www.averydennison.com/,Avery Dennison - Official Site,30,http://www.averydennison.com/,29,1,2,0,0,1,9
106,"nantero, inc.",7,http://nantero.com/,Nantero NRAM - Memory technology that is incredibly fast!,57,http://nantero.com/,19,1,1,0,0,1,10
113,"siemens energy, inc.",14,https://www.siemens.com/global/en/home/products/energy.html,Energy Products & Services - Siemens Global Website,51,https://www.siemens.com/global/en/home/products/energy.html,59,1,2,0,0,1,1
116,avery dennison corporation,14,http://www.averydennison.com/,Avery Dennison - Official Site,30,http://www.averydennison.com/,29,1,2,0,0,1,9
123,avery dennison corporation,14,http://www.averydennison.com/,Avery Dennison - Official Site,30,http://www.averydennison.com/,29,1,2,0,0,1,9
130,"element one, inc.",11,http://www.e1lab.com/,ELEMENT ONE - Monitor Factory,29,http://elementonescreens.com/,29,1,2,0,0,0,10
139,optodot corporation,7,http://optodot.com/,Optodot | Separators with Superior Functionality and Heat ...,61,http://optodot.com/,19,1,1,0,0,1,9
145,avery dennison corporation,14,http://www.averydennison.com/,Avery Dennison - Official Site,30,http://www.averydennison.com/,29,1,2,0,0,1,9
152,"integrated dna technologies, inc.",27,http://www.idtdna.com/,Integrated DNA Technologies - Official Site,43,http://www.idtdna.com/,22,1,3,0,0,1,9
157,"integrated dna technologies, inc.",27,http://www.idtdna.com/,Integrated DNA Technologies - Official Site,43,http://www.idtdna.com/,22,1,3,0,0,1,9
162,"ascent solar technologies, inc.",25,http://www.ascentsolar.com/,Ascent Solar - Official Site,28,http://www.ascentsolar.com/,27,1,2,0,0,1,9
169,"everspin technologies, inc.",21,https://www.everspin.com/,Everspin Technologies - Official Site,37,http://www.everspin.com/,24,1,2,1,0,0,8
176,"everspin technologies, inc.",21,https://www.everspin.com/,Everspin Technologies - Official Site,37,http://www.everspin.com/,24,1,2,1,0,0,8
183,"envision solar international, inc.",14,http://www.envisionsolar.com/,Envision Solar,14,http://www.envisionsolar.com/,29,1,2,0,0,1,10
191,finisar corporation,7,https://www.finisar.com/,Finisar - Official Site,23,https://www.finisar.com/,24,1,1,0,0,1,9
199,luna innovations incorporated,16,http://lunainc.com/,Luna - Official Site,20,http://lunainc.com/,19,1,1,0,0,1,9
206,"selecta biosciences, inc.",19,http://selectabio.com/,"Selecta Biosciences, Inc. - Official Site",41,http://selectabio.com/,22,1,2,0,0,1,9
214,luna innovations incorporated,16,http://lunainc.com/,Luna - Official Site,20,http://lunainc.com/,19,1,1,0,0,1,9
221,"sarepta therapeutics, inc.",20,https://www.sarepta.com/,Sarepta Therapeutics - Official Site,36,https://www.sarepta.com/,24,1,2,0,0,1,9
228,ideal power inc.,11,http://www.idealpower.com/,Ideal Power,11,http://www.idealpower.com/,26,1,2,0,0,1,7
237,"pacific biosciences of california, inc.",33,https://www.pacb.com/,Pacific Biosciences - Home - PacBio,35,https://www.pacb.com/,21,1,2,0,0,1,7
245,"forest concepts, llc",15,http://www.forestconcepts.com/,Forest Concepts: Home,21,http://www.forestconcepts.com/,30,1,2,1,0,1,5
249,clearsign combustion corporation,20,https://www.clearsign.com/,ClearSign Combustion - Official Site,36,https://www.clearsign.com/,26,1,2,0,0,1,10
257,"ansun biopharma, inc.",15,http://www.ansunbiopharma.com/,Home - Ansun BioPharmaAnsun BioPharma,37,http://www.ansunbiopharma.com/,30,1,2,0,0,1,8
263,gliknik inc.,7,http://www.gliknik.com/,Home - Gliknik,14,http://www.gliknik.com/,23,1,1,0,0,1,9
271,"atonometrics, inc.",12,http://www.atonometrics.com/,Atonometrics | Test & Measurement for the PV Industry,53,http://www.atonometrics.com/,28,1,1,0,0,1,9
277,goal zero llc,9,https://www.goalzero.com/,Goal Zero,9,https://www.goalzero.com/,25,1,2,0,0,1,7
284,"applied nanostructures, inc.",22,http://www.appnano.com/,Appnano - Official Site,23,http://www.appnano.com/,23,1,0,0,0,1,10
289,"cavium, inc.",6,https://cavium.com/,Cavium - Official Site,22,https://cavium.com/,19,1,1,0,0,1,10
294,fluidigm corporation,8,https://www.fluidigm.com/,Fluidigm - Official Site,24,https://www.fluidigm.com/,25,1,1,0,0,1,9
300,"imra america, inc.",12,https://www.imra.com/,"IMRA America, Inc. - Official Site",34,https://www.imra.com/,21,1,2,0,0,1,9
307,"microchips biotech, inc.",18,http://www.microchipsbiotech.com/,Microchips Biotech,18,http://www.microchipsbiotech.com/,33,1,2,0,0,1,8
315,"oceanit laboratories, inc.",20,https://www.oceanit.com/,Oceanit - Official Site,23,https://www.oceanit.com/,24,1,1,0,1,1,8
323,"triple ring technologies, inc.",24,http://www.tripleringtech.com/,Triple Ring Tech - Official Site,32,http://www.tripleringtech.com/,30,1,2,0,0,1,9
329,"voxtel, inc.",6,http://voxtel-inc.com/,Voxtel Inc. - Official Site,27,http://voxtel-inc.com/,22,1,1,0,0,1,9
337,fluidigm corporation,8,https://www.fluidigm.com/,Fluidigm - Official Site,24,https://www.fluidigm.com/,25,1,1,0,0,1,9
343,"system biosciences, llc",18,https://www.systembio.com/,System Biosciences - Official Site,34,https://www.systembio.com/,26,1,2,0,0,1,9
350,"ag energy solutions, inc.",19,https://ag.energy/,Ag-Energy  Harvesting Residue Yield Returns,43,https://ag.energy/,18,1,2,0,0,1,10
357,"altarock energy, inc.",15,http://altarockenergy.com/,AltaRock Home - AltaRock,24,http://altarockenergy.com/,26,1,1,0,0,1,10
362,bitrode corporation,7,https://www.bitrode.com/,Bitrode - Official Site,23,https://www.bitrode.com/,24,1,1,0,0,1,11
368,"california industrial facilities resources, inc.",42,https://camss.com/,"California Industrial Facilities Resources, Inc.: Private ...",61,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapid=52209147,81,2,4,0,0,0,1
375,"chromalox, inc.",9,http://www.chromalox.com/,"Chromalox, Inc. - Official Site",31,http://www.chromalox.com/,25,1,1,0,0,1,9
381,community power corporation,15,http://www.gocpc.com/,Community Power Corporation,27,http://www.gocpc.com/,21,1,2,0,0,1,10
387,"delta electronics, inc.",17,http://www.deltaww.com/,Welcome to Delta Group,22,http://www.deltaww.com/,23,1,1,0,0,1,10
395,"echogen power systems, llc",21,https://www.echogen.com/,Echogen Power Systems - Waste Heat Recovery Power Generation,60,https://www.echogen.com/,24,1,3,0,0,1,7
403,"enow, inc.",4,https://enowenergy.com/,E! Entertainment - Watch Full Episodes | E! Entertainment,57,http://www.eonline.com/watch/,29,1,0,0,0,0,5
411,howard industries,17,http://howard-ind.com/,Howard Ind - Official Site,26,http://howard-ind.com/,22,1,1,0,0,1,9
419,"magnolia optical technologies, inc.",29,http://magnoliaoptical.com/,Magnolia Optical Technologies,29,http://magnoliaoptical.com/,27,1,3,0,0,1,8
426,"microlink devices, inc.",17,http://mldevices.com/,"MicroLink Devices, Inc. - Home",30,http://mldevices.com/,21,1,2,0,0,1,10
430,"pioneer energy, inc.",14,http://www.pioneerenergy.com/,Pioneer Energy | Texas Residential and Commercial ...,53,http://www.mypioneerenergy.com/,31,1,2,0,0,0,7
431,"pioneer energy, inc.",14,http://www.pioneerenergy.com/,Pioneer Energy - Official Site,30,http://www.pioneerenergy.com/,29,2,2,0,0,1,7
439,renewable opportunities inc.,23,http://renewableopportunitiesinc.com/,ROI : Renewable Opportunities Inc,33,http://renewableopportunitiesinc.com/,37,1,2,1,0,1,1
442,"renmatix, inc.",8,http://renmatix.com/,Renmatix - Official Site,24,http://renmatix.com/,20,1,1,0,0,1,10
448,"sinton consulting, inc.",17,https://www.sintoninstruments.com/,Home - Sinton Instruments,25,https://www.sintoninstruments.com/,34,1,1,0,0,1,8
452,"solarmer energy, inc.",15,http://solarmer.com/,Solarmer - Official Site,24,http://solarmer.com/,20,1,1,0,0,1,10
457,"swift engineering, inc.",17,https://swiftengineering.com/,Swift Engineering - Official Site,33,https://swiftengineering.com/,29,1,2,0,0,1,10
462,wenger corporation,6,http://www.wengercorp.com/,Wenger Corp - Official Site,27,http://www.wengercorp.com/,26,1,1,0,0,1,9
467,abbott molecular inc.,16,https://www.molecular.abbott/,Abbott Molecular | Diagnostic Assays and Instruments,52,https://www.molecular.abbott/,29,1,2,0,0,1,8
472,"advanced ceramic fibers, llc",23,http://www.acfibers.com/index.html,PRODUCT INFORMATION - Home Page,31,http://www.acfibers.com/index.html,34,1,0,0,0,1,5
479,"aurrion, inc.",7,http://www.aurrion.com/,Asurion - Official Site,23,https://www.asurion.com/,24,1,0,0,0,0,10
486,"aushon biosystems, inc.",17,http://www.aushon.com/,Aushon - Official Site,22,http://www.aushon.com/,22,1,1,0,0,1,10
494,"carver scientific, inc.",17,http://www.carversci.com/,Carver Scientific,17,http://www.carversci.com/,25,1,2,0,0,1,9
500,"complete genomics, inc.",17,http://www.completegenomics.com/,Complete Genomics - Official Site,33,http://www.completegenomics.com/,32,1,2,0,0,1,10
507,"daylight solutions, inc.",18,https://www.daylightsolutions.com/,Daylight Solutions - Official Site,34,https://www.daylightsolutions.com/,34,1,2,0,0,1,10
514,"delta electronics, inc.",17,http://www.deltaww.com/,Welcome to Delta Group,22,http://www.deltaww.com/,23,1,1,0,0,1,10
522,"dhpc technologies, inc.",17,http://www.dhpctech.com/,DHPC Technologies - Official Site,33,http://www.dhpctech.com/,24,1,2,0,0,1,10
529,"electronic warfare associates, inc.",29,http://ewa.com/,EWA - Official Site,19,http://ewa.com/,15,1,0,0,0,1,10
537,fike corporation,4,http://www.fike.com/,Fike - Official Site,20,https://www.fike.com/,21,1,1,0,0,0,10
543,inview technology corporation,17,http://inviewcorp.com/,InView Technology Corporation  Powerful Compressive ...,55,http://inviewcorp.com/,22,1,2,0,0,1,10
549,"k-space associates, inc.",18,https://www.k-space.com/,Advanced Tools for In-Situ Thin-Film Metrology | k-Space,56,https://www.k-space.com/,24,1,2,0,0,1,10
554,kodak alaris inc.,12,https://www.kodakalaris.com/,Home | Kodak Alaris,19,https://www.kodakalaris.com/,28,1,2,0,0,1,8
562,"kulite semiconductor products, inc",29,https://www.kulite.com/,Kulite - Official Site,22,https://www.kulite.com/,23,1,1,0,0,1,9
568,"liquid x printed metals, inc.",23,http://www.liquid-x.com/,Functional Electronics Fabrication | Liquid X Printed ...,57,http://www.liquid-x.com/,24,1,3,0,0,1,8
575,"monosol, llc",7,https://www.monosol.com/,Water Soluble Film Technology | MonoSol,39,https://www.monosol.com/,24,1,1,0,0,1,7
583,"moxtek, inc.",6,http://moxtek.com/,MOXTEK Optical and X-ray Components Manufacturer,48,http://moxtek.com/,18,1,1,0,0,1,10
589,nanobio corporation,7,http://www.bluewillow.com/,BlueWillow - Official Site,26,http://www.bluewillow.com/,26,1,0,0,0,1,10
596,"nanomech, inc.",8,http://www.nanomech.com/,NanoMech - Making atoms work harder and smarter,47,http://www.nanomech.com/,24,1,1,0,0,1,8
603,"nanoridge materials, inc.",19,http://nanoridge.com/,NanoRidge,9,http://nanoridge.com/,21,1,1,0,0,1,10
609,"nanospectra biosciences, inc.",23,https://www.nanospectra.com/,nanospectra,11,https://www.nanospectra.com/,28,1,1,0,0,1,8
617,"ofs fitel, llc",9,https://www.ofsoptics.com/,OFS - Official Site,19,https://www.ofsoptics.com/,26,1,1,0,0,1,9
626,"propagation research associates, inc.",31,http://pra-corp.com/,"Propagation Research Associates, Inc.",37,http://pra-corp.com/,20,1,3,0,0,1,9
630,quantumscape corporation,12,http://www.quantumscape.com/,QuantumScape - Official Site,28,http://www.quantumscape.com/,28,1,1,0,0,1,8
637,"teledyne scientific & imaging, llc",29,http://www.teledyne-si.com/business-units/teledyne-scientific-company,Teledyne Scientific and Imaging,31,http://www.teledyne-si.com/,27,1,3,0,0,0,8
643,"wentworth laboratories, inc.",22,http://www.wentworthlabs.com/,PROBE CARDS - Wentworth Labs,28,https://www.wentworthlabs.com/,30,1,1,0,0,0,10
650,wyatt technology corporation,16,https://www.wyatt.com/,Wyatt Technology Laser Light Scattering Instrumentation,55,https://www.wyatt.com/,22,1,2,0,0,1,10
657,zygo corporation,4,https://www.zygo.com/,Zygo Corporation - Official Site,32,https://www.zygo.com/,21,1,1,0,0,1,9
659,"acell, inc.",5,https://acell.com/,ACell - Official Site,21,https://acell.com/,18,1,1,0,0,1,10
665,algenol biotech llc,15,http://algenol.com/,Algenol - Official Site,23,http://algenol.com/,19,1,1,0,0,1,9
671,"amprius, inc.",7,http://amprius.com/,Amprius: Next-Generation Lithium-Ion Batteries,46,http://amprius.com/,19,1,1,0,0,1,9
678,"autonomic materials, inc.",19,https://www.autonomicmaterials.com/,Home [www.autonomicmaterials.com],33,https://www.autonomicmaterials.com/,35,1,2,0,0,1,6
685,beryllium discovery corp.,24,http://be4.com/,Static - Beryllium Discovery,28,http://be4.com/,15,1,2,0,1,1,8
692,"cardiva medical, inc.",15,http://www.cardivamedical.com/,Cardiva Medical - Official Site,31,https://www.cardivamedical.com/,31,1,2,0,0,0,9
699,"cmc icos biologics, inc.",18,http://www.agcbio.com/,AGC) BIO - LEADING THE WAY IN INNOVATIVE CLINICAL,49,http://www.agcbio.com/,22,1,0,0,0,1,9
705,"complete genomics, inc.",17,http://www.completegenomics.com/,Complete Genomics - Official Site,33,http://www.completegenomics.com/,32,1,2,0,0,1,10
712,"confluence energy, llc",17,http://www.confluenceenergy.com/,Confluence Energy,17,http://www.confluenceenergy.com/,32,1,2,0,0,1,8
720,discoverx corporation,9,https://www.discoverx.com/home,DiscoverX Solutions for Drug Discovery,38,https://discoverx.com/home,26,1,1,0,0,0,9
728,"genisphere, llc",10,https://genisphere.com/,3DNA Nanotechnology | Genisphere,32,https://genisphere.com/,23,1,1,0,0,1,9
736,"longhorn vaccines and diagnostics, llc",33,https://www.lhnvd.com/,Longhorn Vaccines and Diagnostics,33,https://www.lhnvd.com/primemix,30,1,4,0,0,0,9
752,"new england biolabs, inc.",19,https://www.neb.com/,NEB - Official Site,19,https://www.neb.com/,20,1,0,0,0,1,9
755,"parion sciences, inc.",15,http://www.parion.com/,Parion Sciences,15,http://www.parion.com/,22,1,2,0,0,1,9
762,"teledyne scientific & imaging, llc",29,http://www.teledyne-si.com/business-units/teledyne-scientific-company,Teledyne Scientific and Imaging,31,http://www.teledyne-si.com/,27,1,3,0,0,0,8
768,zygo corporation,4,https://www.zygo.com/,Zygo Corporation - Official Site,32,https://www.zygo.com/,21,1,1,0,0,1,9
