22nd Century Limited, LLC
Transilwrap Company, Inc.
Transitions Optical, Inc.
Transposagen Biopharmaceuticals, Inc.
Travis Industries, Inc.
Triple Ring Technologies, Inc.
Truckee Applied Genomics, LLC
True-Safe Technologies, Inc.
Tufts Medical Center, Inc.
Twitter, Inc.
U.S. NUTRACEUTICALS, LLC
UChicago Argonne, LLC
UT-Battelle, LLC
UWM Research Foundation, Inc.
Ube Industries, Ltd.
Universal Leaf Tobacco Co., Inc.
V35A Enterprises, LLC
VALTED, LLC
VINYLAST, INC.
VMware, Inc.
Vadient Optics, LLC
Valicor, Inc.
Varian Semiconductor Equipment Associates, Inc.
Vaxiion Therapeutics, Inc.
Ventana Medical Systems, Inc.
Veracode, Inc.
Veracyte, Inc.
Verliant Energy, Inc.
Vindico NanoBioTechnology, LLC
Virent, Inc.
Voxtel, Inc.
W&Wsens Devices, Inc.
WAFERTECH, LLC
WOVN, INC.
Warsaw Orthopedic, Inc.
Wentworth Laboratories, Inc.
WestPoint Home, Inc.
Western Digital (Fremont), LLC
Western Digital Technologies, Inc.
WiSys Technology Foundation, Inc.
Wikipad, Inc.
Wine.com, Inc.
Wireless Environment, LLC
Wizard Labs, LLC
Wostec, Inc. 032138/0242
Xyleco, Inc.
Yeda Research and Development Co., Ltd.
Yissum, Research Development Company of the Hebrew University of Jerusalem
ZENA TECHNOLOGIES, INC.
Ziptronix, Inc.
Zyvex Labs, LLC
aTyr Pharma, Inc.
adaptiveARC, Inc.
bioTheranostics, Inc.
eNow, Inc.
iBio, Inc.
k-Space Associates, Inc.
kSep Systems, LLC
nLIGHT, Inc.
nanoComposix, Inc.
3M Innovative Properties Company
646840 Alberta Ltd.
AAC Technologies Pte. Ltd.
ABB AB
ABB Research Ltd.
ABB Technology Ltd.
ABL IP Holding LLC
AC International Inc.
ACACIA RESEARCH GROUP LLC
ACUCELA INC.
ADASA INC.
ADVANCED INNOVATION CENTER LLC
AGFA-GEVAERT N.V.
ALSTOM Technology Ltd
AMERICAN BIO ENERGY CONVERTING CORP.
APPLIED MATERIALS ISRAEL LTD.
ASM IP HOLDING B.V.
ASM IP Holdings LLC
ASML Netherlands B.V.
AT&T Corporation
ATI Technologies ULC
ATOMERA INCORPORATED
AZ Electronic Materials (Luxembourg) S.A.R.L.
AbbVie Inc.
Abbott Cardiovascular Systems Inc.
Abbott Molecular Inc.
Abbott Point of Care Inc.
Access Business Group International LLC
AccuRay Corporation
Acer Incorporated
Achushnet Company
Adaptive Biotechnologies Corp.
Adeka Corporation
Adobe Systems Incorporated
Advanced Aqua Group
Aerosol Dynamics Inc.
AgroFresh Inc.
Alcatel Lucent
Algenol Biotech LLC
Alpha and Omega Semiconductor Incorporated
Altex Technologies Corporation
Amberwave Inc.
American Science and Technology Corporation
Amgen Fremont Inc.
Amgen Inc.
Andritz Inc.
Aneeve LLC
Anelva Corporation
Angstron Materials
Anlinx
Antaya Technologies Corporation
Apple Inc.
Applied Genetic Technologies Corporation
Archer Daniels Midland Company
Arkema Inc.
Arkival Technology Corp.
Armageddon Energy Inc.
Asahi Kasei Kabushiki Kaisha
Atleisure LLC
Atomic Energy Council-Institute of Nuclear Energy Research
Atotech Deutschland GmbH
Atrium Medical Corporation
Avago Technologies General IP (Singapore) Pte. Ltd.
Avant Garde Therapeutics & Technologies LLC
Avery Dennison Corporation
Avtaec Limited
B.G. Negev Technologies and Applications Ltd.
BAE Systems Information and Electronic Systems Integration Inc.
BASF
BASF Coatings GmbH
BASF Corporation 
BASF Enzymes LLC
BASF Plant Science GmbH
BASF SE
BAXALTA INCORPORATED
BCE Inc.
BERKEN ENERGY LLC
BLANC VINEYARDS L.L.C.
BOLTIER R&D
BP Corporation North America Inc.
BRIGHTLEAF TECHNOLOGIES INC.
BROADCOM CORPORATION
BROOKLYN QUANTUM WORKS
BTPATENT LLC
BTU International
Baker Hughes Incorporated
Bakersun
Banpil Photonics
Basell Polyolefine GmbH
Battelle Memorial Institute
Bausch & Lomb Incorporated
Baxter Healthcare SA
Baxter International Inc.
Bayer Cropscience AG
Bayer Materialscience LLC
Bell Helicopter Textron Inc.
Beryllium Discovery Corp.
Bi-Modal Corporation
Bigelow Aerospace
Biocon Limited
Bioneer Corporation
Biosense Webster (Israel) Ltd.
Biotta LLC
Bitrode Corporation
BlackBerry Limited
Bluestar Silicones France
Boehringer Ingelheim International GmbH
Boehringer Ingelheim Vetmedica GmbH
Bosch Energy Storage Solutions LLC
Boston Scientific Neuromodulation Corporation
Brewer Science Inc.
Bridgestone Corporation
Bristol-Myers Squibb Company
Brookhaven Science Associates LLC 
Brother International Corporation
Brother Kogyo Kabushiki Kaisha
Butamax(TM) Advanced Biofuels LLC
CAMBRIDGE ENTERPRISE LIMITED
CARBO Ceramics Inc.
CERION LLC
CLEARSIGN COMBUSTION CORPORATION
CNH Industrial America LLC
COOK MEDICAL TECHNOLOGIES LLC
COVERIS FLEXIBLES US LLC
CP KELCO APS
CPC International Inc.
CSEM Centre Suisse d'Electronique et de Microtechnique SA-Recherche et Developpement
Cabot Corporation
Cadtrak Corporation
Callahan Cellular L.L.C.
Canon Kabushiki Kaisha
Carl Zeiss Meditec AG
Carl Zeiss Microscopy GmbH
Cbrite Inc.
Cedar Ridge Research
Celanese Corporation
Celanese International Corporation
Centre de Recherche Industrielle du Quebec
Certain-teed Corporation
Cetac Technologies Inc.
Cetus Corporation
Chevron Oronitz Company LLC
Chevron Phillips Chemical Company LP
Chevron U.S.A. Inc.
Child Laboratories Inc.
Chipmos Technologies Inc.
Chiron Corporation
Cima NanoTech Israel Ltd.
Cleanvantage LLC
Coactive Drive Corporation
Colgate-Palmolive Company
Coloplast A/S
Columbia Insurance Company
Commonwealth Scientific & Industrial Research Organization
Community Power Corporation
Conoco Inc.
ConocoPhillips Company
Conversant Intellectual Property Management Inc.
Cook Biotech Incorporated
CoolEarth Solar
Cooper Technologies Company
Corporation for National Research Initiatives
Covidien LP
Crestovo LLC
Cristal USA Inc.
Crystal Solar Inc.
Crystal Solar Incorporated
Crystalplex Corporation
Custom Electronics Inc.
Cymatics Laboratories Corp.
Cypress Semiconductor Corp.
D-Wave Systems Inc.
DECA Technologies Inc.
DEKA Products Limited Partnership
DIC Corporation
DISCOVERYBIOMED INC.
DPx Holdings B.V.
DSP Group LTD.
Dana Corporation
Danisco US Inc.
Delavau LLC
Dell Software Inc.
Denso Corporation
Deployable Space Systems
Dexerials Corporation
Dialight Corporation
Dialogic Corporation
DiscoveRx Corporation
Dolby Laboratories Licensing Corporation
Dow AgroSciences LLC
Dow Corning Corporation
Dow Global Technologies Inc.
Dow Technology Investments LLC
Dr. Reddy's Laboratories Ltd.
Dresser-Rand Company
DuPont Teijin Films U.S. Limited Partnership
Dymax Corporation
E Ink Corporation
E. I. du Pont de Nemours and Company
E. I. du Pont de Nemours and Company duPont Displays Inc
E. Tech Incorporation
E.I. du Pont de Nemours and Company
ECOSYNTHETIX LTD.
ELC Management LLC
EMC Corporation
EMD Technologies Inc.
ENERGY INDEPENDENCE OF AMERICA CORP.
ENI S.p.A.
EPCOS AG
EXOS LLC
Eastman Chemical Company
Eastman Kodak Company
Eaton Corporation
EchoStar Technologies LLC
Ecolab Inc.
Electrovaya Inc.
Elwha LLC
Em-Tech LLC
Embro Corporation
Empire Technology Development LLC
Envisionit LLC
Evernote Corporation
Evoqua Water Technologies LLC
Exatec LLC
Excelsior Nanotech Corporation
ExxonMobil Chemical Patents Inc.
ExxonMobil Research and Engineering Company
ExxonMobil Upstream Research Company
FEI Company
FLOW CONTROL LLC.
FPInnovations
FRONT EDGE TECHNOLOGY INC.
FUJIFILM Corporation
Fairchild Semiconductor Corporation
FastCAP Systems Corporation
Federal Signal Corporation
Ferric Inc.
Ferro Corporation
Fianium Ltd.
Fike Corporation
Finisar Corporation
Floadia Corporation
Fluidigm Corporation
Fujitsu Limited
Fujitsu Semiconductor Limited
G.D.O. Inc
GCP Applied Technologies Inc.
GE Healthcare Limited
GE-Hitachi Nuclear Energy Americas LLC
GEN-PROBE INCORPORATED
GENCO SCIENCES LLC
GENERAL ELECTRIC COMPANY
GENERAL MOTORS LLC
GIGA SOLAR FPC
GLIKNIK INC.
GLOBALFOUNDRIES Inc.
GLYCON LLC
GOAL ZERO LLC
GOLBA LLC
GOOGLE TECHNOLOGY HOLDINGS LLC
GREENFIELD MASTER IPCO LIMITED
GREENHILL ANTIBALLISTICS CORPORATION
Galemed Corporation
Garrity Power Services LLC
Gas Technology Institute
Genesco Inc.
Genzyme Corporation
Georgia-Pacific Gypsum LLC
Gestion Ultra International Inc.
Global Eagle Entertainment Inc.
Global Filtration Systems
Global OLED Technology LLC
Glucan Biorenewables LLC
Google Inc.
Grain Processing Corporation
Grandis Inc.
Greatbatch Ltd.
Green Extraction Technologies
Gtech Corporation
Gula Consulting Limited Liability Company
H R D CORPORATION
HAMAMATSU PHOTONICS K.K.
HGST NETHERLANDS B.V.
HOWARD INDUSTRIES
HTC Corporation
Hadasit Medical Research Services & Development Company Ltd.
Hamilton Sundstrand Corporation
Harris Corporation
Heat Seal LLC
Heidelberger Druckmaschinen AG
Helios Focus LLC
Henkel AG & Co. KGaA
Heraeus Precious Metals North America Conshohocken LLC
Hewlett Packard Enterprise Development LP
Hewlett-Packard Indigo B.V.
Hitachi High-Technologies Corporation
Hollingsworth & Vose Company
Honeywell International Inc.
Hosiden Corporation
Hoya Corporation
Humanetics Corporation
Hunt Energy Enterprises LLC
Hunter Douglas Inc.
Hynix Semiconductor Inc.
Hysitron Incorporated
Hyundai Motor Company
IDEALAB
IDEX Health & Science LLC
II-VI Incorporated
IMDS Corporation
IMEC
INENTEC INC.
INFINEUM INTERNATIONAL LIMITED
INTEL IP CORPORATION
INVISTA North America S.a.r.l.
Ideal Power Inc.
Imperial Innovations Limited
InView Technology Corporation
Incept LLC
Incyte Holdings Corporation
Industrial Technology Research Institute
Infineon Technologies AG
Infineon Technologies Americas Corp.
Infinera Corporation
Innolux Corporation
Instron Corporation 
Intel Corporation
Intellectual Keystone Technology LLC
Intercontinental Great Brands LLC
International Business Machines Corporation
International Technology Center
IntriEnergy Inc.
Invensas Corporation
Iogen Corporation
Ivoclar Vivadent AG
JAC Products Inc.
JFE STEEL CORPORATION
JNC Corporation
JOLED Inc.
JSI Equipment Solutions LLC
JSR Corporation
JX Nippon Mining & Metals Corporation
Johns Manville
Johnson Controls Technology Company
Johnson Matthey PLC
KINO LLC
KJ BIOSCIENCES LLC
KLA-Tencor Corporation
KT Corporation
KUBIX INC.
KYOCERA DOCUMENT SOLUTIONS INC.
Kabushiki Kaisha Eighting
Kabushikikaisha Toshiba
Kajima Corporation
Kaneka Corporation
Kansei Corporation 
Kao Corporation
Karsten Manufacturing Corporation
Kawasaki Jukogyo Kabushiki Kaisha
Kemira OY
Kerr Corporation
Kia Motors Corporation 
Kimberly-Clark Worldwide
Kinetech Power Company LLC
King Electric Vehicles Inc.
Kodak Alaris Inc.
Kraton Polymers U.S. LLC
Kronos International Inc
Kureha Corporation
L-3 Communications Cincinnati Electronics Corporation
LATITUDE PHARMACEUTICALS INC.
LG Electronics Inc.
LGS Innovations LLC
LORDO AMERICA
Lam Research Corporation
Lattice Semiconductor Corporation
Lextar Electronics Corp.
Life Technologies Corporation
LifeNet Health
Linne Industries LLC
Lintec Corporation
Litron Laboratories Limited
Lockheed Martin Corporation
Lof Solar Corporation
Lovelace Respiratory Research Institute
Lumentum Operations LLC
Luna Innovations Incorporated
MAHLE International GmbH
MATERIALS ANALYSIS TECHNOLOGY (US) CORP.
MERCK SHARP & DOHME CORP.
MILLENIUM SYNTHFUELS CORPORATION
Magna International Inc.
Mainstream Engineering Corp.
Marathon Equipment Company
Marine Biotech Inc.
Markel Corporation
Maxim Integrated Products
Medgenics Medical Israel Ltd.
Mediatek Inc.
Medicis Pharmaceutical Corporation
Merck Patent GmbH
Met Tech Inc.
Michelin Recherche et Technique S.A.
Michigan Biotechnology Institute
Microchip Technology Incorporated
Microsemi SoC Corporation
Milliken & Company
Mintera Corporation
Mitsubishi Electric Corporation
Mitsubishi Metal Corporation
Momentive Performance Materials GmbH
Momentive Performance Materials Inc.
Monarch Power Corp
Monolithe Semiconductor Inc.
Monsanto Technology LLC
Musco Corporation
NANOBIO CORPORATION
NANOPHARMACEUTICALS LLC
NEC Corporation
NEWFIELD THERAPEUTICS CORPORATION
NICHIA CORPORATION
NOK Corporation
NOVA Chemicals (International) S.A.
NOVA PANGAEA TECHNOLOGIES LIMITED
Nalco Company
Nanao Corporation
Nano Technics Company Ltd
NanoGram Corporation
Nanostatics Corporation
National Education Corporation
Nederlandse Organisatie voor toegepast-natuurwetenschappelijk onderzoek TNO
NeoPhotonics Corporation
NeoVision LLC
Nestec S. A.
Newdoll Enterprises LLC
Newport Corporation
Nikon Corporation
Nippon Chemi-Con Corporation
Nokia Corporation
Nokia Technologies Oy
Nordson Corporation
Northrop Grumman Systems Corporation
Novartis AG
Novozymes A/S
Novozymes Inc.
Novus Energy LLC
Nthdegree Technologies Worldwide Inc.
Nutech Ventures
Nvidia Corporation
O.B.I. Inc.
OLYMPUS CORPORATION
Oki Data Corporation
Olympus NDT
Omron Corporation
One Earth Designs Inc.
Optodot Corporation
Oracle International Corporation
Ormat Technologies Inc.
Osram Sylvania Inc.
Owens-Brockway Glass Container Inc.
PACCAR Inc
PLEX LLC
POLAR LIGHT TECHNOLOGIES AB
PQ CORPORATION
Pacific Industrial Development Corporation
Palo Alto Research Center Incorporated
Panasonic Intellectual Property Corporation of America
Pansonic Corporation
Parker-Hannifin Corporation
Pegatron Corporation
Pelican Imaging Corporation
Pentair Thermal Management LLC
PeterBrod Corp.
Pfizer Inc.
Pharmion Corporation
Philip Morris USA Inc.
Phillips 66 Company
Pioneer Hi Bred International Inc
Pixar
Polaris Products LLC
PolyOne Corporation
PolyPlus Battery Company
Polysar Corporation
Proterra Inc.
Pyrexar Medical Inc.
QUALCOMM Incorporated
Qiagen GmbH
Quallion LLC
Qualsig Inc.
Quantum Materials Corporation
QuantumScape Corporation
Quest Diagnostics Investments Incorporated
R.J. Reynolds Tobacco Company
RINAT NEUROSCIENCE CORP.
ROM Corporation
Raytheon BBN Technologies Corp.
Raytheon Company
Reliance Controls Corporation
Renesas Electronics Corporation
Renewable Opportunities Inc.
RenovaCare Sciences Corp.
Research Triangle Institute
Rhodia Operations
Ricoh Company Limited
Rima Enterprises
Robert Bosch GmbH
Roche Diagnostics GmbH
Roche Innovation Center Copenhagen A/S
Roche Molecular Systems
Rohm and Haas Chemicals LLC
Rohm and Haas Company
Rohm and Haas Electronic Materials LLC
Roll-N-Lock Corporation
Rolls-Royce PLC
Rosemount Aerospace Inc. 
SABIC GLOBAL TECHNOLOGIES B.V.
SAE Magnetics (HK) Ltd.
SAINT-GOBAIN ABRASIFS
SEIKO NPC Corporation
SEaB Energy Holdings Ltd.
SHOW ME ENERGY
SICPA Holding SA
SII Semiconductor Corporation
SK Hynix Inc.
SOLENA FUELS CORPORATION
STMicroelectronics Limited
STMicroelectronics S.A.
SUNSALUTER
SYNTHOMER USA LLC
Sagacious Investment Group L.L.C.
Saint-Gobain Performance Plastics Corporation
SanDisk 3D LLC
SanDisk Technologies LLC
Sandia Corporation
Sanofi
Santoku Corporation
Sanuvox Technologies
Schlumberger Technology Corporation
Seagate Technology LLC
Seetron Inc.
Seiko Epson Corporation
Seiko Instruments Inc.
Selas Heat Technology Company LLC
Semiconductor Manufacturing International (Shanghai) Corporation
Semics Inc.
Semileds Optoelectronics Co.
Sensor-Kinesis Corporation
Sharp Kabushiki Kaisha
Shell Oil Company
Shimadzu Corporation
Sick AG
Siemens Aktiengesellschaft 
Siemens Corporation
Sigma-Aldrich Co. LLC
Silicon Genesis Corporation
Silicon Space Technology Corp.
Silicor Materials Inc.
Simbol Inc.
Sion Power Corporation
SolAero Technologies Corp.
Sola U.S.A. Inc.
SolaBlock LLC
Solaire Generation LLC
Solar Junction Corporation
Solar-Tectic LLC
SolarCity Corporation
SolarLego Inc.
SolarWorld Americas Inc.
Solaris Holdings Limited
Soliton Lasers
Solutia Inc.
Sony Corporation
Sony Interactive Entertainment America LLC
Southwest Research Institute
St. Microelectronics Inc.
Starlight Energy Holdings LLC
Starsource Scientific LLC
Stora Enso Oyj
Sumco Corporation
Sun Chemical Corporation
Sun Drilling Products Corporation
Sun Synchrony
SunCulture Solar Inc.
SunEdison Semiconductor Limited
SunLink Corporation
SunPower Corporation
Sungevity Inc.
Sunlight Photonics Inc.
Sunrun South LLC
Supremex Inc.
Surebeam Corporation
Swagelok Company
Symantec Corporation
Syngenta Participations AG
Sysmex Corporation
TDK Corporation
TEKNOR APEX COMPANY
THYSSENKRUPP INDUSTRIAL SOLUTIONS GMBH
TIME WARNER CABLE ENTERPRISES LLC
TMC Corporation
TRANE INTERNATIONAL INC.
TRIDONIC GMBH & CO KG
TRITON MICROTECHNOLOGIES
Takara Bio Inc.
Takeda Pharmaceutical Company Limited
Tamura Corporation
Tanaka Kikinzoku Kogyo K.K.
Tata Consultancy Services Limited
Tau Therapeutics LLC
Teal Sales Incorporated
Texas Instruments Deutschland GmbH
Texas Instruments Incorporated
The Babcock & Wilcox Company
The Boeing Company
The Eastern Co.
The Gates Corporation
The Goodyear Tire & Rubber Company
The Iams Company
The Jackson Laboratory
The Paymaster Corporation
The Procter & Gamble Company
Thermo Fisher Scientific Inc.
Thermorefinery Technologies Inc.
Thermoretinary Technologies Inc.
Thoratec Corporation
Thorn Bioscience LLC
Ticona LLC
Toda Kogyo Corporation
Tokyo Electron Limited
Toray Industries Inc. 
Toshiba Tec Kabushiki Kaisha
Tosoh Corporation
Total Marketing Services
Toyota Jidosha Kabushiki Kaisha
Traex Corporation
Transtron Solutions LLC
Triune IP LLC
Turf Group LLC
Turtle Beach Corporation
Two Blades Foundation
Tyco Electronics Corporation
Tyco Electronics U.K. LTD
U S MICROPOWER INC
U.S. Smokeless Tobacco Company LLC
UCB Pharma S.A.
UNISANTIS ELECTRONICS SINGAPORE PTE. LTD.
UOP LLC
UTC FIRE & SECURITY CORPORATION
UVIC INDUSTRY PARTNERSHIPS INC.
Uni-Charm Corporation
Unifrax I LLC
Uniseal Solutions Inc.
Unistrut International Corp.
United Microelectronics Corp.
United Technologies Corporation
Unity Semiconductor Corporation
Universal Display Corporation
VEECO PRECISION SURFACE PROCESSING LLC
VERILY LIFE SCIENCES LLC
VERLASE TECHNOLOGIES LLC
VIASAT INC.
VINDICO NANOBIO TECHNOLOGY INC.
VIOLIN MEMORY
Vascular BioSciences
VivaLnk Limited (Cayman Islands)
Vizio Inc.
Volterra Semiconductor LLC
Vorbeck Materials Corporation
WADHAM ENERGY LP
WCA Group LLC
WELL Shield LLC
WHATSAPP INC.
Waters Technologies Corporation
Watlow Electric Manufacturing Company
Wave Energy Conversion Corporation of America
Weatherford Canada Partnership
Wenger Corporation
Winbond Electronics Corp.
Wyatt Technology Corporation
X DEVELOPMENT LLC
Xenogenic Development Limited Liability Company
Xerox Corporation
Xintec Inc.
Yageo Corporation
Yamaha Corporation
ZIH Corp.
ZON
Zeno Semiconductor Inc
Zephyr Energy Systems LLC
Zoetis Services LLC
Zygo Corporation
adidas AG
eSionic Corp.
fybr
iNanoBio LLC
mVerify Corporation
nLIGHT Photonics Corporation
