Two Blades Foundation,2blades.org/
3M Innovative Properties Company,3m.com/
Advanced Aqua Group,aadvancedaqua.com/
ABB AB,abb.com/
AbbVie Inc.,abbvie.com/
Google Inc.,abc.xyz/
Abengoa Bioenergy New Technologies,abengoa.com/
Ablexis,ablexis.com/
SII Semiconductor Corporation,ablic.com/en/semicon/
ACACIA RESEARCH GROUP LLC,acaciaresearch.com/
Access Business Group International LLC,accessbusinessgroup.com/
Roche Diagnostics GmbH,accu-chek.com/
AccuRay Corporation,accuray.com/
ACell,acell.com/
Acer Incorporated,acer.com/ac/en/US/content/home
ADVANCED CERAMIC FIBERS,acfibers.com/index.html
AC International Inc.,acinter.com/
Acorn Technologies,acorntech.com/
ACUCELA INC.,acucela.com/
Achushnet Company,acushnetgolf.com/
Adaptive Biotechnologies Corp.,adaptivebiotech.com/
ADASA INC.,adasa.com/
Adeka Corporation,adeka.co.jp/en/
Saint-Gobain Adfors Canada,adfors.com/us/
Adhesives Research,adhesivesresearch.com/
adidas AG,adidas.com/us/
Adlens Beacon,adlens.com/
Archer Daniels Midland Company,adm.com/
ADMA Products,admaproducts.com/#!
Adobe Systems Incorporated,adobe.com/
Adtran,adtran.com/
Advanced Silicon Group,advancedsilicongroup.com/
Advanced Water Technology,advancedwatertechnology.com/
Adynxx,adynxx.com/
Aerogen,aerogen.com/
AFMODEL,afmodels.com/
AG ENERGY SOLUTIONS,ag.energy/
CMC ICOS BIOLOGICS,agcbio.com/
AGC Flat Glass North America,agcglass.com/
Agena Bioscience,agenabio.com/
AGFA-GEVAERT N.V.,agfa.com/corporate/
Agienic,agienic.com/
Agilent Technologies,agilent.com/
BASF Plant Science GmbH,agriculture.basf.com/us/en.html
Agrivida,agrivida.com/
AgroFresh Inc.,agrofresh.com/
Applied Genetic Technologies Corporation,agtc.com/
ADVANCED INNOVATION CENTER LLC,aicchile.com/en/
AIR PRODUCTS AND CHEMICALS,airproducts.com/
Ajinomoto Althea,ajibio-pharma.com/
Akron Polymer Systems,akronpolysys.com/
Alcatel Lucent,al-enterprise.com/
Alcon Research,alcon.com/
Alcotek,alcotek.com/
Alencon Acquisition Co.,alenconsystems.com/
Alexion Pharmaceuticals,alexion.com/
Algenol Biotech LLC,algenol.com/
ALGETERNAL TECHNOLOGIES,algeternal.com/
Allertein Therapeutics,allergytherapeutics.com/
Alliance for Sustainable Energy,allianceforsustainableenergy.org/
Allison Transmission,allisontransmission.com/
All Power Labs,allpowerlabs.com/
PLYCEM USA,allurausa.com/
Alnylam Pharmaceuticals,alnylam.com/
ALSTOM Technology Ltd,alstom.com/
Altivera,altabira.com/
AltaRock Energy,altarockenergy.com/
Altex Technologies Corporation,altextech.com/
Ambature,ambature.com/
Amberwave Inc.,amberwave.com/
Amgen Fremont Inc.,amgen.com/
Amgen Inc.,amgen.com/
Amicus Therapeutics,amicusrx.com/
Amkor Technology,amkor.com/
Ampio Pharmaceuticals,ampiopharma.com/
Amprius,amprius.com/
AMPT,ampt.com/
Princeton Optronics,ams.com/
American Science and Technology Corporation,amsnt.com/
Amtech Systems,amtechsystems.com/
Analog Devices,analog.com/en/index.html
Advanced Analogic Technologies,analogictech.com/
Andritz Inc.,andritz.com/group-en
Angaza Design,angaza.com/
Angiotech Pharmaceuticals (US),angiotech.com/
Annam Biosciences,annambiosciences.com/
Ansun Biopharma,ansunbiopharma.com/
Antaya Technologies Corporation,antaya.com/
Applied Optoelectronics,ao-inc.com/
Alpha and Omega Semiconductor Incorporated,aosmd.com/
American Piledriving Equipment,apevibro.com/
Apple Inc.,apple.com/
Applied Materials,appliedmaterials.com/
APPLIED MATERIALS ISRAEL LTD.,appliedmaterials.com/
Applied Membrane Technologies,appliedmembranetech.com/
APPLIED STEMCELL,appliedstemcell.com/
Applied Nanostructures,appnano.com/
ARBOR THERAPEUTICS,arborpharma.com/
Arcturus Therapeutics,arcturusrx.com/
Areesys Technologies,areesys.com/
Arkema Inc.,arkema.com/en/
Arkival Technology Corp.,arkival.com/
Armageddon Energy Inc.,armageddonenergy.com/
AROG PHARMACEUTICALS,arogpharmaceuticals.com/
Arpin Renewable Energy,arpingroup.com/
Arrowhead Center,arrowheadcenter.nmsu.edu/
ASCENT SOLAR TECHNOLOGIES,ascentsolar.com/
ASM America,asm.com/
ASM IP HOLDING B.V.,asm.com/
ASM IP Holdings LLC,asm.com/
ASML Netherlands B.V.,asml.com/asml/en/s427
Astech,astech.com/
Advanced Cell Technology,astellas.us/therapeutic/rnd/airm.aspx
AstenJohnson,astenjohnson.com/
ASTUTE MEDICAL,astutemedical.com/
Astex Pharmaceuticals,astx.com/
Aurrion,asurion.com/
ATC Technologies,atctechnologiesinc.com/
Atleisure LLC,atleisure.com/
ATOMERA INCORPORATED,atomera.com/
Atom Nanoelectronics,atomoe.com/
Atonometrics,atonometrics.com/
Atotech Deutschland GmbH,atotech.com/
Atrium Medical Corporation,atriummed.com/
AT&T Corporation,att.com/
ATTOSTAT,attostat.com/
DNA Twopointo,atum.bio/
DNA2.0,atum.bio/
Aurora Alage,aurorabiofuels.com/
Aushon Biosystems,aushon.com/
Auterra,auterrainc.com/
Authenex,authenex.com/site_en/index.html
Autonomic Materials,autonomicmaterials.com/
Avalanche Technology,avalanche-technology.com/
Avantor Performance Materials,avantorinc.com/
Avertech,avertech.com.sg/
Avery Dennison Corporation,averydennison.com/
Avon Products,avon.com/
Avtaec Limited,avtec.in/
The Babcock & Wilcox Company,babcock.com/
Babcock Power Services,babcockpower.com/
BAE Systems Information and Electronic Systems Integration Inc.,baesystems.com/en-us/our-company/inc-businesses/electronic-systems
Banpil Photonics,banpil.com/
BASF Coatings GmbH,basf-coatings.com/global/ecweb/en/
BASF,basf.com/
BASF Corporation ,basf.com/
BASF SE,basf.com/
Battelle Memorial Institute,battelle.org/
Battelle Energy Alliance,battelle.org/laboratory-management
Bausch & Lomb Incorporated,bausch.com/
Baxter Healthcare SA,baxter.com/
Baxter International Inc.,baxter.com/
Bayer Materialscience LLC,bayer.com/
Becton,bd.com/
Accuri Cytometers,bdbiosciences.com/us/instruments/research/cell-analyzers/bd-accuri/m/1294932/overview
Beryllium Discovery Corp.,be4.com/
Bell Helicopter Textron Inc.,bellflight.com/
Bemis Company,bemis.com/
BERKEN ENERGY LLC,berkenenergy.com/
Bestway,bestwaycorp.us/
Baker Hughes Incorporated,bhge.com/
Boehringer Ingelheim Vetmedica GmbH,bi-vetmedica.com/
Big Belly Solar,bigbelly.com/
Bigelow Aerospace,bigelowaerospace.com/
Green Box Batteries,biggreenbox.com/
Bio-Rad Laboratories,bio-rad.com/
Biocare Medical,biocare.net/
Biocon Limited,biocon.com/
Biogenic Reagents Ventures,biogenicreagents.com/
Biological Dynamics,biologicaldynamics.com/
BioNano Genomics,bionanogenomics.com/
Biosense Webster (Israel) Ltd.,biosensewebster.com/
bioTheranostics,biotheranostics.com/
Biotta LLC,biottajuices.com/
Cleanvantage LLC,biovantage.dk/
Bird-B-Gone,birdbgone.com/
Bisco,biscoind.com/
Bitrode Corporation,bitrode.com/
BlackBerry Limited,blackberry.com/
Ethox Chemicals,blog.ethox.com/
Blue Sea Systems,bluesea.com/
NANOBIO CORPORATION,bluewillow.com/
Bristol-Myers Squibb Company,bms.com/
Boehringer Ingelheim International GmbH,boehringer-ingelheim.com/
The Boeing Company,boeing.com/
Robert Bosch GmbH,bosch.com/
Bostik,bostik.com/us/
Boston Scientific Scimed,bostonscientific.com/en-US/Home.html
BP Corporation North America Inc.,bp.com/en_us/bp-us.html
Braun Intertec Geothermal,braunintertec.com/
Brewer Science Inc.,brewerscience.com/
Bridgelux,bridgelux.com/
Bridgestone Corporation,bridgestone.com/
Brightfield Transportation Solutions,brightfieldts.com/
BRIGHTLEAF TECHNOLOGIES INC.,brightleafpower.com/
BROADCOM CORPORATION,broadcom.com/
Brother International Corporation,brother-usa.com/
Bruin Biometrics,bruinbiometrics.com/us/
Brookhaven Science Associates LLC ,bsa-hq.org/
BTU International,btutilities.com/
Buckman Laboratories International,buckman.com/
Georgia-Pacific Gypsum LLC,buildgp.com/georgia-pacific-gypsum
Butamax(TM) Advanced Biofuels LLC,butamax.com/
Biotechnology Foundation,cabiotech.org/
Cabot Corporation,cabotcorp.com/
Cadence Design Systems,cadence.com/
Calient Technologies,calient.net/
Calysta,calysta.com/
Cambridge Electronics,cambridgeelectronics.com/
Anelva Corporation,canon-anelva.co.jp/english/
Canon U.S. Life Sciences,canon-biomedical.com/online/portal/vp7
Bend Research,capsugel.com/locations/bend-oregon-usa
CARBO Ceramics Inc.,carboceramics.com/about/about-carbo
Carbon3D,carbon3d.com/
Cardiva Medical,cardivamedical.com/
Carestream Health,carestream.com/en/us
Caribou Biosciences,cariboubio.com/
Carver Scientific,carversci.com/
Cavium,cavium.com/
Cbrite Inc.,cbriteinc.com/
UTC FIRE & SECURITY CORPORATION,ccs.utc.com/ccs/en/worldwide/
Celanese Corporation,celanese.com/
Celanese International Corporation,celanese.com/
Ticona LLC,celanese.com/engineered-materials.aspx
Pharmion Corporation,celgene.com/
CellPrint IP Holding,cellprintbiotechnology.com/
CELLTRION,celltrion.com/en/main.do
Cellular Research,cellularresearchinstitute.com/
Saint-Gobain Ceramics & Plastics,ceramicmaterials.saint-gobain.com/
Ceramatec,ceramtec.com/
CERION LLC,cerionadvancedmaterials.com/
Certain-teed Corporation,certainteed.com/
Copernicus Therapeutics,cgsys.com/
Nippon Chemi-Con Corporation,chemi-con.co.jp/e/index.html
Chemtreat,chemtreat.com/
Chevron U.S.A. Inc.,chevron.com/
Chipmos Technologies Inc.,chipmos.com/index-en.aspx
Christie Digital Systems,christiedigital.com/en-us/
Chromalox,chromalox.com/
CI4 Technologies,ci4.us/
Cima NanoTech Israel Ltd.,cimananotech.com/
L-3 Communications Cincinnati Electronics Corporation,cinele.com/
Cisco Technology,cisco.com/
Claret Medical,claretmedical.com/
Clean Energy Labs,cleanenergylabs.com/
Clearside Biomedical,clearsidebio.com/
CLEARSIGN COMBUSTION CORPORATION,clearsign.com/
CNH Industrial America LLC,cnhindustrial.com/en-us/Pages/Homepage.aspx
Corporation for National Research Initiatives,cnri.reston.va.us/
Canon Nanotechnologies,cnt.canon.com/
Coactive Drive Corporation,coactivehs.com/team/
Codexis,codexis.com/
Senga Advisors,coengadvisors.com/
Coleman Cable,colemancables.com/
Colgate-Palmolive Company,colgatepalmolive.com/en-us
Columbia Insurance Company,colinsgrp.com/site/
Coloplast A/S,coloplast.us/
Combined Energies,combined-energies.com/
Complete Genomics,completegenomics.com/
Confluence Energy,confluenceenergy.com/
Conoco Inc.,conoco.com/
ConocoPhillips Company,conocophillips.com/
Continental Manufacturing,continentalcommercialproducts.com/
Conversant Intellectual Property Management Inc.,conversantip.com/
Cook Biotech Incorporated,cookbiotech.com/
COOK MEDICAL TECHNOLOGIES LLC,cookmedical.com/
CoolEarth Solar,coolearthsolar.com/
Cool Planet Energy Systems,coolplanet.com/
Cooper Technologies Company,coopertechnologies.net/
Coriant Advanced Technology,coriant.com/
Cornell Research Foundation,cornell.edu/research/
KT Corporation,corp.kt.com/eng/
Dentsply International,corporate.dentsplysirona.com/en.html
ExxonMobil Upstream Research Company,corporate.exxonmobil.com/
ExxonMobil Research and Engineering Company,corporate.exxonmobil.com/en/energy/research-and-development
Ford Global Technologies,corporate.ford.com/innovation.html
PPG Industries Ohio,corporate.ppg.com/Home.aspx
Courtagen Life Sciences,courtagen.com/
COVERIS FLEXIBLES US LLC,coveris.com/
Chevron Phillips Chemical Company LP,cpchem.com/
CP KELCO APS,cpkelco.com/
CP Kelco U.S.,cpkelco.com/
Community Power Corporation,cpwrfcu.org/
Cedar Ridge Research,cr-res.com/
Cree,cree.com/
Crestovo LLC,crestovo.com/
Centre de Recherche Industrielle du Quebec,criq.qc.ca/fr/
Cristal USA Inc.,cristal.com/
Bayer Cropscience AG,cropscience.bayer.com/
Crossbar,crossbar-inc.com/en/
Cross Match Technologies,crossmatch.com/
Crystalplex Corporation,crystalplex.com/
CSEM Centre Suisse d'Electronique et de Microtechnique SA-Recherche et Developpement,csem.ch/
Commonwealth Scientific & Industrial Research Organization,csiro.au/
CUMMINS FILTRATION IP,cumminsfiltration.com/
Cura Vac,curavac.com/
Custom Electronics Inc.,customelec.com/#!
CYBERCITY 3D,cybercity3d.com/
CyboEnergy,cyboenergy.com/
Cypress Semiconductor Corp.,cypress.com/
Daikin Industries,daikin.com/
Dana-Farber Cancer Institute,dana-farber.org/
Dana Corporation,dana.com/
Danisco US Inc.,danisco.com/food-beverages/
Daylight Solutions,daylightsolutions.com/
Da Yu Enterprises,dayuenterprises.com/
DECA Technologies Inc.,decatechnologies.com/
Deep Science,deepscience.ai/
DEKA Products Limited Partnership,dekaresearch.com/
Delavau LLC,delavaufood.com/
Delphi Technologies,delphi.com/new-delphi-technologies
Delta Electronics,deltaww.com/
Great American Duck Races,demingduckrace.com/
Denso Corporation,denso.com/global/en/
DePuy Synthes Products,depuysynthes.com/
Dermazone Solutions,dermazone.com/
Dexerials Corporation,dexerials.jp/en/
GE Healthcare Dharmacon,dharmacon.horizondiscovery.com/
DHPC TECHNOLOGIES,dhpctech.com/
Dialight Corporation,dialight.com/
Dialogic Corporation,dialogic.com/
DIC Corporation,dictionary.com/
DiscoveRx Corporation,discoverx.com/home
DISCOVERYBIOMED INC.,discoverybiomed.com/
SAMSUNG DISPLAY CO.,displaysolutions.samsung.com/
Dolby Laboratories Licensing Corporation,dolby.com/us/en/professional/licensing.html
Domtar Paper Company,domtar.com/en
Dow Global Technologies Inc.,dow.com/en-us
Dow Technology Investments LLC,dow.com/en-us
Rohm and Haas Chemicals LLC,dow.com/en-us
Rohm and Haas Company,dow.com/en-us
Dow Corning Corporation,dow.com/en-us/dow-corning-integration
Dow AgroSciences LLC,dowagro.com/en-us/
Rohm and Haas Electronic Materials LLC,dowelectronicmaterials.com/
The Charles Stark Draper Laboratory,draper.com/
Dresser-Rand Company,dresser-rand.com/
Dr. Reddy's Laboratories Ltd.,drreddys.com/
DSP Group LTD.,dspg.com/
Deployable Space Systems,dss-space.com/
E. I. du Pont de Nemours and Company,dupont.com/
E. I. du Pont de Nemours and Company duPont Displays Inc,dupont.com/
E.I. du Pont de Nemours and Company,dupont.com/
Pioneer Hi Bred International Inc,dupont.com/corporate-functions/our-company/businesses/pioneer.html
Pioneer Hi-Bred,dupont.com/corporate-functions/our-company/businesses/pioneer.html
Pioneer Hi-Bred International,dupont.com/corporate-functions/our-company/businesses/pioneer.html
D-Wave Systems Inc.,dwavesys.com/
Dymax Corporation,dymax.com/
Dynamic Solutions Worldwide,dynatrap.com/
Easel Biotechnologies,easelbio.com/
The Eastern Co.,easterncompany.com/
Eastman Chemical Company,eastman.com/Pages/Home.aspx
Solutia Inc.,eastman.com/Pages/solutia.aspx
Eaton Corporation,eaton.com/us/en-us.html
Echogen Power Systems,echogen.com/
EchoStar Technologies LLC,echostar.com/
Ecolab Inc.,ecolab.com/
Nalco Company,ecolab.com/nalco-water
ECOSYNTHETIX LTD.,ecosynthetix.com/
Ecovative Design,ecovativedesign.com/
SolarLego Inc.,education.lego.com/en-us/products/lego-solar-panel/9667
Egenera,egenera.com/
E Ink Corporation,eink.com/
Eisai Co.,eisai.com/index.html
Express Imaging Systems,eiscallcenter.com/
ElectraTherm,electratherm.com/
Electrix,electrixillumination.com/
Electrovaya Inc.,electrovaya.com/
Element One,elementonescreens.com/
Elenion Technologies,elenion.com/
Elwha LLC,elwha.org/
Em-Tech LLC,em-techinc.com/
EMC Corporation,emcins.com/
EMD Technologies Inc.,emd-technologies.com/
Empire Technology Development LLC,empirelabauto.com/index.html
Lumenco,en.lumenco.ca/
EPCOS AG,en.tdk-electronics.tdk.com/
Energen,energen.com/
Energysolutions,energysolutions.com/
Quallion LLC,enersys.com/default.aspx?langType=1033
OPTERRA ENERGY SERVICES,engieservices.us/
Enginuity Worldwide,enginuityww.webstarts.com/
Englewood Lab,englewoodlab.com/
ENI S.p.A.,eni.com/en_IT/home.page
ENI Technology,eni.com/en_IT/innovation.page
eNow,enowenergy.com/
Ensyn Renewables,ensyn.com/
Entech Solar,entechsolutions.us/
Entegris,entegris.com/
CAMBRIDGE ENTERPRISE LIMITED,enterprise.cam.ac.uk/
InVisage Technologies,envisagenow.com/
Envisionit LLC,envisionit.com/
Envision Solar International,envisionsolar.com/
BASF Enzymes LLC,enzymes.basf.com/
Epizyme,epizyme.com/
ESCAPE THERAPEUTICS,escapetherapeutics.com/
Esolar,esolar.solar/
Ethicon Endo-Surgery,ethicon.com/
Evri,everi.com/
Evernote Corporation,evernote.com/
Everspin Technologies,everspin.com/
Evoqua Water Technologies LLC,evoqua.com/
Electronic Warfare Associates,ewa.com/
Extech/Exterior Technologies,extechinc.com/
ExxonMobil Chemical Patents Inc.,exxonmobilchemical.com/en
Faurecia Interior Systems,faurecia.com/en
Federal Signal Corporation,federalsignal.com/
FEI Company,fei.com/careers/
Ferro Corporation,ferro.com/
Fike Corporation,fike.com/
Fina Technology,finatg.com/
Finisar Corporation,finisar.com/
First Solar,firstsolar.com/
Flextronics AP,flex.com/
FLIR Systems,flir.com/
Floadia Corporation,floadia.com/
FLOW CONTROL LLC.,flowcontrol.com/
Fluidigm Corporation,fluidigm.com/
Forest Concepts,forestconcepts.com/
Formula Plastics,formulaplastics.com/
Hon Hai Precision Industry Co.,foxconn.com/
FPInnovations,fpinnovations.ca/
FRONT EDGE TECHNOLOGY INC.,frontedgetechnology.com/
Fuji Electric Co.,fujielectric.com/
FUJIFILM Corporation,fujifilm.com/
FUJIFILM Dimatix,fujifilmusa.com/products/industrial_inkjet_printheads/index.html
Fujitsu Limited,fujitsu.com/global/
Fujitsu Semiconductor Limited,fujitsu.com/jp/group/fsl/en/
Fuji Xerox Co.,fujixerox.com/eng
FULL CIRCLE BIOCHAR,fullcirclebiochar.com/
Furukawa Electric Co.,furukawa.co.jp/en/
fybr,fybr.com/
